[2026-06-22T04:00:24.600+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-22T04:00:24.619+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: anomx_first_kafka_pipeline.run_kafka_producer manual__2026-06-22T04:00:20.804327+00:00 [queued]>
[2026-06-22T04:00:24.626+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: anomx_first_kafka_pipeline.run_kafka_producer manual__2026-06-22T04:00:20.804327+00:00 [queued]>
[2026-06-22T04:00:24.628+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2026-06-22T04:00:24.639+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): run_kafka_producer> on 2026-06-22 04:00:20.804327+00:00
[2026-06-22T04:00:24.646+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'anomx_first_kafka_pipeline', 'run_kafka_producer', 'manual__2026-06-22T04:00:20.804327+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/anomx_first_pipeline.py', '--cfg-path', '/tmp/tmpym2oweu0']
[2026-06-22T04:00:24.648+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=831) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-22T04:00:24.649+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask run_kafka_producer
[2026-06-22T04:00:24.650+0000] {standard_task_runner.py:72} INFO - Started process 832 to run task
[2026-06-22T04:00:24.720+0000] {task_command.py:467} INFO - Running <TaskInstance: anomx_first_kafka_pipeline.run_kafka_producer manual__2026-06-22T04:00:20.804327+00:00 [running]> on host ffb574a4859e
[2026-06-22T04:00:24.779+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='anomx-phase3' AIRFLOW_CTX_DAG_ID='anomx_first_kafka_pipeline' AIRFLOW_CTX_TASK_ID='run_kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-06-22T04:00:20.804327+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-22T04:00:20.804327+00:00'
[2026-06-22T04:00:24.780+0000] {taskinstance.py:732} INFO - ::endgroup::
[2026-06-22T04:00:24.791+0000] {logging_mixin.py:190} INFO - Checking dataset path: /opt/***/data/raw/CMAPSSData/train_FD001.txt
[2026-06-22T04:00:24.795+0000] {logging_mixin.py:190} INFO - Dataset file exists.
[2026-06-22T04:00:24.796+0000] {logging_mixin.py:190} INFO - Checking producer script path: /opt/***/ingestion/kafka_producer.py
[2026-06-22T04:00:24.798+0000] {logging_mixin.py:190} INFO - Producer script exists.
[2026-06-22T04:00:24.798+0000] {logging_mixin.py:190} INFO - Running producer command: /home/***/.local/bin/python /opt/***/ingestion/kafka_producer.py
[2026-06-22T04:00:24.799+0000] {logging_mixin.py:190} INFO - Working directory: /opt/***
[2026-06-22T04:00:24.800+0000] {logging_mixin.py:190} INFO - Dataset path: /opt/***/data/raw/CMAPSSData/train_FD001.txt
[2026-06-22T04:00:24.800+0000] {logging_mixin.py:190} INFO - Kafka bootstrap servers: kafka:29092
[2026-06-22T04:00:24.801+0000] {logging_mixin.py:190} INFO - Kafka topic: sensor-data
[2026-06-22T04:00:26.220+0000] {logging_mixin.py:190} INFO - Starting to stream 20631 rows...
[2026-06-22T04:00:26.325+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 1
[2026-06-22T04:00:26.425+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 2
[2026-06-22T04:00:26.526+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 3
[2026-06-22T04:00:26.627+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 4
[2026-06-22T04:00:26.727+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 5
[2026-06-22T04:00:26.828+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 6
[2026-06-22T04:00:26.929+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 7
[2026-06-22T04:00:27.029+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 8
[2026-06-22T04:00:27.130+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 9
[2026-06-22T04:00:27.231+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 10
[2026-06-22T04:00:27.331+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 11
[2026-06-22T04:00:27.432+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 12
[2026-06-22T04:00:27.533+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 13
[2026-06-22T04:00:27.634+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 14
[2026-06-22T04:00:27.736+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 15
[2026-06-22T04:00:27.837+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 16
[2026-06-22T04:00:27.937+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 17
[2026-06-22T04:00:28.038+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 18
[2026-06-22T04:00:28.139+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 19
[2026-06-22T04:00:28.240+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 20
[2026-06-22T04:00:28.341+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 21
[2026-06-22T04:00:28.442+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 22
[2026-06-22T04:00:28.543+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 23
[2026-06-22T04:00:28.644+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 24
[2026-06-22T04:00:28.744+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 25
[2026-06-22T04:00:28.845+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 26
[2026-06-22T04:00:28.946+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 27
[2026-06-22T04:00:29.046+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 28
[2026-06-22T04:00:29.147+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 29
[2026-06-22T04:00:29.248+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 30
[2026-06-22T04:00:29.349+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 31
[2026-06-22T04:00:29.449+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 32
[2026-06-22T04:00:29.551+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 33
[2026-06-22T04:00:29.651+0000] {logging_mixin.py:190} INFO - Sent -> Engine 1 | Cycle 34
